Season,Bases,0 Outs,1 Out,2 Outs,Era
1964,1B -- --,0.785,0.507,0.213,Expansion Era
1964,-- 2B --,0.993,0.645,0.322,Expansion Era
1964,-- -- 3B,1.308,0.878,0.344,Expansion Era
1964,1B 2B --,1.418,0.918,0.431,Expansion Era
1964,1B -- 3B,1.698,1.178,0.51,Expansion Era
1964,-- 2B 3B,1.834,1.314,0.638,Expansion Era
1964,1B 2B 3B,2.317,1.488,0.772,Expansion Era
1965,-- -- --,0.446,0.239,0.094,Expansion Era
1965,1B -- --,0.789,0.484,0.203,Expansion Era
1965,-- 2B --,1.022,0.658,0.324,Expansion Era
1965,-- -- 3B,1.255,0.893,0.369,Expansion Era
1965,1B 2B --,1.389,0.873,0.404,Expansion Era
1965,1B -- 3B,1.568,1.119,0.529,Expansion Era
1965,-- 2B 3B,1.846,1.233,0.575,Expansion Era
1965,1B 2B 3B,2.21,1.307,0.728,Expansion Era
1966,-- -- --,0.447,0.242,0.087,Expansion Era
1966,1B -- --,0.787,0.486,0.205,Expansion Era
1966,-- 2B --,0.995,0.638,0.311,Expansion Era
1966,-- -- 3B,1.167,0.83,0.35,Expansion Era
1966,1B 2B --,1.434,0.885,0.432,Expansion Era
1966,1B -- 3B,1.695,1.054,0.451,Expansion Era
1966,-- 2B 3B,1.889,1.29,0.534,Expansion Era
1966,1B 2B 3B,2.286,1.488,0.693,Expansion Era
1967,-- -- --,0.421,0.223,0.084,Expansion Era
1967,1B -- --,0.771,0.453,0.198,Expansion Era
1967,-- 2B --,1.072,0.642,0.334,Expansion Era
1967,-- -- 3B,1.232,0.881,0.387,Expansion Era
1967,1B 2B --,1.414,0.826,0.437,Expansion Era
1967,1B -- 3B,1.704,1.067,0.454,Expansion Era
1967,-- 2B 3B,1.983,1.306,0.611,Expansion Era
1967,1B 2B 3B,2.258,1.394,0.687,Expansion Era
1968,-- -- --,0.383,0.199,0.079,Expansion Era
1968,1B -- --,0.72,0.418,0.171,Expansion Era
1968,-- 2B --,0.935,0.598,0.291,Expansion Era
1968,-- -- 3B,1.072,0.815,0.331,Expansion Era
1968,1B 2B --,1.247,0.777,0.383,Expansion Era
1968,1B -- 3B,1.554,1.044,0.447,Expansion Era
1968,-- 2B 3B,1.752,1.185,0.513,Expansion Era
1968,1B 2B 3B,1.997,1.331,0.667,Expansion Era
