Season,Bases,0 Outs,1 Out,2 Outs
2008,-- 2B --,1.162,0.71,0.338
2008,-- -- 3B,1.51,0.965,0.363
2008,1B 2B --,1.559,0.948,0.472
2008,1B -- 3B,1.782,1.17,0.497
2008,-- 2B 3B,2.026,1.426,0.611
2008,1B 2B 3B,2.364,1.611,0.826
2009,-- -- --,0.521,0.279,0.107
2009,1B -- --,0.898,0.539,0.225
2009,-- 2B --,1.147,0.706,0.323
2009,-- -- 3B,1.313,0.968,0.384
2009,1B 2B --,1.501,0.938,0.455
2009,1B -- 3B,1.766,1.222,0.536
2009,-- 2B 3B,2.029,1.413,0.568
2009,1B 2B 3B,2.304,1.583,0.756
2010,-- -- --,0.495,0.264,0.104
2010,1B -- --,0.884,0.517,0.234
2010,-- 2B --,1.107,0.686,0.326
2010,-- -- 3B,1.396,0.937,0.347
2010,1B 2B --,1.444,0.895,0.461
2010,1B -- 3B,1.822,1.118,0.484
2010,-- 2B 3B,1.989,1.404,0.601
2010,1B 2B 3B,2.388,1.539,0.799
2011,-- -- --,0.48,0.259,0.098
2011,1B -- --,0.853,0.505,0.221
2011,-- 2B --,1.069,0.664,0.315
2011,-- -- 3B,1.467,0.938,0.323
2011,1B 2B --,1.432,0.895,0.43
2011,1B -- 3B,1.774,1.157,0.5
2011,-- 2B 3B,1.945,1.353,0.561
2011,1B 2B 3B,2.186,1.504,0.79
2012,-- -- --,0.489,0.261,0.102
2012,1B -- --,0.86,0.524,0.239
2012,-- 2B --,1.121,0.674,0.326
2012,-- -- 3B,1.35,0.963,0.357
2012,1B 2B --,1.422,0.907,0.422
2012,1B -- 3B,1.72,1.13,0.506
2012,-- 2B 3B,1.973,1.355,0.567
2012,1B 2B 3B,2.172,1.555,0.737
2013,-- -- --,0.466,0.244,0.093
2013,1B -- --,0.829,0.502,0.215
2013,-- 2B --,1.103,0.63,0.308
2013,-- -- 3B,1.308,0.92,0.349
2013,1B 2B --,1.401,0.854,0.409
2013,1B -- 3B,1.813,1.117,0.488
2013,-- 2B 3B,1.998,1.39,0.567
2013,1B 2B 3B,2.218,1.565,0.714
2014,-- -- --,0.456,0.238,0.088
2014,1B -- --,0.83,0.485,0.204
2014,-- 2B --,1.078,0.63,0.314
2014,-- -- 3B,1.377,0.938,0.346
2014,1B 2B --,1.392,0.847,0.398
2014,1B -- 3B,1.788,1.105,0.417
2014,-- 2B 3B,1.906,1.36,0.516
2014,1B 2B 3B,2.373,1.517,0.656
2015,-- -- --,0.479,0.254,0.099
2015,1B -- --,0.866,0.509,0.229
2015,-- 2B --,1.127,0.671,0.308
2015,-- -- 3B,1.417,0.97,0.365
2015,1B 2B --,1.489,0.896,0.434
2015,1B -- 3B,1.725,1.128,0.458
2015,-- 2B 3B,2.051,1.362,0.575
2015,1B 2B 3B,2.319,1.607,0.795
2016,-- -- --,0.509,0.274,0.108
2016,1B -- --,0.874,0.525,0.225
2016,-- 2B --,1.145,0.684,0.316
2016,-- -- 3B,1.355,0.952,0.379
2016,1B 2B --,1.463,0.941,0.423
2016,1B -- 3B,1.756,1.212,0.489
2016,-- 2B 3B,1.954,1.378,0.561
2016,1B 2B 3B,2.153,1.577,0.723
2017,-- -- --,0.524,0.277,0.11
2017,1B -- --,0.923,0.532,0.229
2017,-- 2B --,1.183,0.726,0.331
2017,-- -- 3B,1.415,0.986,0.385
2017,1B 2B --,1.52,0.958,0.455
2017,1B -- 3B,1.82,1.222,0.506
2017,-- 2B 3B,2.06,1.498,0.583
2017,1B 2B 3B,2.235,1.666,0.821
2018,-- -- --,0.503,0.269,0.099
2018,1B -- --,0.889,0.537,0.223
2018,-- 2B --,1.138,0.695,0.324
2018,-- -- 3B,1.417,1.009,0.356
2018,1B 2B --,1.447,0.951,0.447
2018,1B -- 3B,1.807,1.221,0.506
2018,-- 2B 3B,1.964,1.375,0.585
2018,1B 2B 3B,2.375,1.499,0.791
2019,-- -- --,0.545,0.296,0.114
2019,1B -- --,0.958,0.571,0.244
2019,-- 2B --,1.181,0.735,0.341
2019,-- -- 3B,1.439,1.007,0.387
2019,1B 2B --,1.572,1.013,0.467
2019,1B -- 3B,1.804,1.244,0.557
2019,-- 2B 3B,2.043,1.453,0.625
2019,1B 2B 3B,2.338,1.655,0.791
2020,-- -- --,0.535,0.288,0.105
2020,1B -- --,0.927,0.563,0.244
2020,-- 2B --,1.167,0.729,0.337
2020,-- -- 3B,1.441,0.994,0.412
2020,1B 2B --,1.624,0.962,0.47
2020,1B -- 3B,1.619,1.327,0.567
2020,-- 2B 3B,1.991,1.518,0.599
2020,1B 2B 3B,2.519,1.749,0.757
2021,-- -- --,0.511,0.266,0.102
2021,1B -- --,0.924,0.535,0.229
2021,-- 2B --,1.155,0.699,0.328
2021,-- -- 3B,1.386,0.959,0.378
2021,1B 2B --,1.549,0.93,0.449
2021,1B -- 3B,1.764,1.134,0.483
2021,-- 2B 3B,2.14,1.408,0.586
2021,1B 2B 3B,2.486,1.708,0.834
2022,-- -- --,0.478,0.255,0.097
2022,1B -- --,0.879,0.519,0.21
2022,-- 2B --,1.108,0.678,0.314
2022,-- -- 3B,1.236,0.985,0.395
2022,1B 2B --,1.47,0.929,0.446
2022,1B -- 3B,1.778,1.171,0.521
2022,-- 2B 3B,2.03,1.425,0.566
2022,1B 2B 3B,2.432,1.553,0.798
2023,-- -- --,0.52,0.276,0.105
2023,1B -- --,0.914,0.547,0.243
2023,-- 2B --,1.178,0.721,0.315
2023,-- -- 3B,1.468,0.994,0.368
2023,1B 2B --,1.493,0.962,0.483
2023,1B -- 3B,1.835,1.189,0.532
2023,-- 2B 3B,1.949,1.389,0.534
2023,1B 2B 3B,2.286,1.63,0.792
